timestamp,open,high,low,close,volume
2019-05-03 16:00:00,128.8000,129.0300,128.7400,128.8900,2387512
2019-05-03 15:30:00,128.7600,128.8300,128.5800,128.8000,1943139
2019-05-03 15:00:00,129.0047,129.0500,128.7100,128.7600,1380406
2019-05-03 14:30:00,129.2900,129.3100,128.8610,129.0000,1048848
2019-05-03 14:00:00,129.1400,129.4200,129.0966,129.2900,1898223
2019-05-03 13:30:00,128.6200,129.1450,128.5500,129.1390,1592331
2019-05-03 13:00:00,128.6400,128.7500,128.3800,128.6192,1176682
2019-05-03 12:30:00,128.3400,128.6400,128.2756,128.6400,1309346
2019-05-03 12:00:00,128.5700,128.6150,128.1600,128.3500,1213747
2019-05-03 11:30:00,128.4950,128.7725,128.4601,128.5750,1835496
2019-05-03 11:00:00,128.0200,128.5944,127.8900,128.4900,1949257
2019-05-03 10:30:00,127.8650,128.1800,127.7800,128.0250,1775120
2019-05-03 10:00:00,127.3600,127.8600,127.2500,127.8600,2751272
2019-05-02 16:00:00,126.4700,126.6300,126.0132,126.0750,2787533
2019-05-02 15:30:00,126.3000,126.5400,126.1700,126.4600,1650075
2019-05-02 15:00:00,126.4300,126.6400,126.1350,126.3000,1391932
2019-05-02 14:30:00,126.0500,126.6950,126.0100,126.4300,1577389
2019-05-02 14:00:00,126.2800,126.5300,125.9700,126.0400,1438677
2019-05-02 13:30:00,125.7705,126.3500,125.5200,126.2800,1725681
2019-05-02 13:00:00,126.2800,126.4600,125.6600,125.7700,1384569
2019-05-02 12:30:00,125.7786,126.3401,125.7400,126.2700,1918571
2019-05-02 12:00:00,126.6900,127.0400,125.5600,125.7700,2636795
2019-05-02 11:30:00,127.2900,127.4500,126.5900,126.6800,1854489
2019-05-02 11:00:00,127.4753,127.7400,127.2750,127.2850,1177675
2019-05-02 10:30:00,127.0600,127.9800,127.0440,127.4700,1833931
2019-05-02 10:00:00,127.9800,128.0000,127.0100,127.0500,2503626
2019-05-01 16:00:00,128.6800,128.7600,127.7000,127.8700,4428015
2019-05-01 15:30:00,128.9900,129.0300,128.5300,128.6799,2185500
2019-05-01 15:00:00,129.3896,129.5200,128.6800,128.9900,2232378
2019-05-01 14:30:00,129.4200,129.8200,129.3600,129.3800,2498309
2019-05-01 14:00:00,129.4100,129.4500,129.2500,129.4172,1825812
2019-05-01 13:30:00,129.5350,129.7500,129.3500,129.4034,906603
2019-05-01 13:00:00,129.6300,129.6500,129.3400,129.5350,1188941
2019-05-01 12:30:00,129.7300,129.8000,129.5300,129.6390,906106
2019-05-01 12:00:00,129.7966,129.9700,129.7000,129.7300,1017621
2019-05-01 11:30:00,129.6361,129.8100,129.5815,129.7950,1084453
2019-05-01 11:00:00,129.8500,129.8900,129.6200,129.6367,829650
2019-05-01 10:30:00,129.8700,130.0000,129.5000,129.8450,1690696
2019-05-01 10:00:00,130.5300,130.6500,129.5936,129.8700,2631737
2019-04-30 16:00:00,130.1850,130.6900,130.1500,130.5800,3193458
2019-04-30 15:30:00,130.1100,130.3200,130.0400,130.1800,1014513
2019-04-30 15:00:00,130.2600,130.3250,130.1000,130.1050,1029644
2019-04-30 14:30:00,130.5800,130.6000,130.1750,130.2600,1232131
2019-04-30 14:00:00,130.1301,130.6300,130.0840,130.5750,1083489
